session_id,user_id,session_start,traffic_source,device_type
1,867,2025-11-09T06:00:00Z,newsletter,mobile
2,864,2024-10-17T20:00:00Z,search,mobile
3,5967,2024-06-27T17:00:00Z,social,mobile
4,4705,2025-02-17T19:00:00Z,newsletter,mobile
5,1427,2024-06-27T17:00:00Z,direct,desktop
6,8216,2024-08-16T09:00:00Z,newsletter,mobile
7,7137,2025-04-20T00:00:00Z,newsletter,mobile
8,8889,2024-06-27T05:00:00Z,search,mobile
9,1335,2025-02-26T04:00:00Z,direct,desktop
10,3383,2025-12-27T13:00:00Z,search,mobile
11,5753,2024-03-16T01:00:00Z,search,mobile
12,1566,2025-08-26T12:00:00Z,newsletter,desktop
13,9305,2024-04-09T20:00:00Z,newsletter,desktop
14,5472,2024-11-25T09:00:00Z,newsletter,desktop
15,789,2025-08-19T03:00:00Z,direct,desktop
16,1955,2025-11-23T04:00:00Z,search,mobile
17,4381,2025-03-30T11:00:00Z,direct,mobile
18,7504,2025-07-03T16:00:00Z,social,desktop
19,2161,2024-01-03T06:00:00Z,social,desktop
20,6743,2025-03-13T05:00:00Z,search,mobile
21,2934,2025-04-08T23:00:00Z,search,desktop
22,618,2025-12-14T07:00:00Z,direct,desktop
23,9701,2025-11-13T01:00:00Z,direct,desktop
24,2105,2025-08-20T07:00:00Z,search,mobile
25,9409,2025-10-11T20:00:00Z,direct,mobile
26,3786,2024-05-25T05:00:00Z,direct,mobile
27,4673,2025-07-12T03:00:00Z,social,desktop
28,1651,2024-08-10T05:00:00Z,social,desktop
29,5961,2025-04-03T08:00:00Z,social,mobile
30,3530,2024-03-03T08:00:00Z,search,mobile
31,817,2024-09-06T18:00:00Z,direct,desktop
32,6288,2025-08-19T18:00:00Z,social,mobile
33,4677,2025-08-22T09:00:00Z,direct,desktop
34,9242,2024-04-22T16:00:00Z,social,mobile
35,6087,2025-05-03T19:00:00Z,search,desktop
36,769,2025-07-17T13:00:00Z,search,desktop
37,3289,2025-05-04T21:00:00Z,social,desktop
38,1099,2024-10-11T05:00:00Z,newsletter,mobile
39,6520,2025-12-25T04:00:00Z,search,mobile
40,9743,2024-01-09T21:00:00Z,newsletter,mobile
41,6397,2025-12-19T23:00:00Z,social,mobile
42,3694,2024-02-27T17:00:00Z,direct,desktop
43,5970,2025-04-14T16:00:00Z,search,desktop
44,2886,2025-05-26T11:00:00Z,social,mobile
45,6769,2025-01-17T02:00:00Z,newsletter,mobile
46,6787,2025-05-18T04:00:00Z,social,desktop
47,2570,2025-10-17T20:00:00Z,social,desktop
48,6464,2024-06-09T05:00:00Z,direct,mobile
49,4852,2025-06-14T11:00:00Z,search,desktop
50,4847,2024-10-24T09:00:00Z,newsletter,desktop
51,9431,2024-11-20T08:00:00Z,search,mobile
52,3500,2025-01-07T03:00:00Z,newsletter,mobile
53,4319,2025-08-01T22:00:00Z,direct,desktop
54,3029,2024-05-19T12:00:00Z,search,mobile
