user_id,signup_date,country,device_preference,subscriber_status
1,2021-08-01,UK,desktop,0
2,2024-06-14,USA,mobile,0
3,2023-08-29,UK,mobile,0
4,2022-11-28,UK,mobile,0
5,2024-12-18,India,mobile,0
6,2023-04-14,UK,mobile,0
7,2025-02-22,India,mobile,0
8,2024-03-19,USA,mobile,0
9,2025-01-23,Canada,mobile,1
10,2025-02-15,India,mobile,0
11,2023-06-13,USA,mobile,0
12,2020-09-30,India,desktop,0
13,2023-05-31,Canada,mobile,0
14,2021-03-27,India,mobile,0
15,2024-08-27,USA,mobile,0
16,2020-04-07,UK,desktop,0
17,2021-11-04,USA,mobile,0
18,2022-08-28,India,mobile,0
19,2025-03-30,Canada,mobile,0
20,2025-01-31,USA,desktop,0
21,2021-08-12,India,desktop,0
22,2021-07-20,India,mobile,0
23,2023-04-28,Canada,desktop,0
24,2023-10-29,Canada,mobile,1
25,2021-10-24,UK,mobile,0
26,2024-12-31,UK,mobile,0
27,2024-10-27,UK,desktop,0
28,2020-10-18,India,desktop,0
29,2021-01-27,Canada,mobile,0
30,2020-09-20,India,mobile,0
31,2020-01-18,UK,desktop,0
32,2024-03-27,India,mobile,0
33,2020-05-06,India,desktop,0
34,2025-02-06,UK,desktop,0
35,2025-09-10,India,desktop,0
36,2022-08-17,USA,desktop,0
37,2024-08-28,India,mobile,0
38,2021-03-17,India,desktop,0
39,2020-07-11,UK,mobile,1
40,2025-01-24,India,mobile,1
41,2022-05-05,USA,desktop,0
42,2025-02-26,India,mobile,0
43,2021-08-07,Canada,mobile,1
44,2022-03-21,USA,desktop,1
45,2023-02-22,Canada,mobile,0
46,2021-02-06,UK,desktop,0
47,2022-02-13,UK,desktop,0
48,2023-05-19,UK,desktop,1
49,2025-01-10,India,mobile,0
50,2024-02-12,USA,mobile,0
51,2024-01-04,Canada,desktop,1
52,2025-05-25,UK,mobile,1
53,2021-11-23,UK,desktop,0
54,2020-05-29,UK,desktop,0
55,2025-05-07,UK,mobile,0
56,2024-06-29,UK,mobile,0
57,2025-10-15,UK,desktop,0
58,2025-09-07,USA,mobile,0
59,2024-02-22,India,mobile,0
